ToxPrint_ID,ToxPrint_chemotype_name (original),Level 1,Level 2,Level 3,Level 4,Level 5,Level 2 full,Level 3 full,Level 4 full,Level 5 full
616,ring:hetero_[5]_N_triazole_(1_2_3-),ring,hetero,[5]_N,triazole_(1_2_3-),,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_triazole_(1_2_3-),ring:hetero_[5]_N_triazole_(1_2_3-)
617,ring:hetero_[5]_N_triazole_(1_2_4-),ring,hetero,[5]_N,triazole_(1_2_4-),,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_triazole_(1_2_4-),ring:hetero_[5]_N_triazole_(1_2_4-)
618,ring:hetero_[5]_N_triazole_(1_3_4-),ring,hetero,[5]_N,triazole_(1_3_4-),,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_triazole_(1_3_4-),ring:hetero_[5]_N_triazole_(1_3_4-)
619,ring:hetero_[5]_N_O_isoxazole,ring,hetero,[5]_N,O_isoxazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_O_isoxazole,ring:hetero_[5]_N_O_isoxazole
620,ring:hetero_[5]_N_O_oxazole,ring,hetero,[5]_N,O_oxazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_O_oxazole,ring:hetero_[5]_N_O_oxazole
621,ring:hetero_[5]_N_S_isothiazole,ring,hetero,[5]_N,S_isothiazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_S_isothiazole,ring:hetero_[5]_N_S_isothiazole
622,ring:hetero_[5]_N_S_thiadiazole_(1_3_4-),ring,hetero,[5]_N,S_thiadiazole_(1_3_4-),,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_S_thiadiazole_(1_3_4-),ring:hetero_[5]_N_S_thiadiazole_(1_3_4-)
623,ring:hetero_[5]_N_S_thiazole,ring,hetero,[5]_N,S_thiazole,,ring:hetero,ring:hetero_[5]_N,ring:hetero_[5]_N_S_thiazole,ring:hetero_[5]_N_S_thiazole
624,ring:hetero_[5]_O_dioxolane_(1_3-),ring,hetero,[5]_O,dioxolane_(1_3-),,ring:hetero,ring:hetero_[5]_O,ring:hetero_[5]_O_dioxolane_(1_3-),ring:hetero_[5]_O_dioxolane_(1_3-)
625,ring:hetero_[5]_O_furan,ring,hetero,[5]_O,furan,,ring:hetero,ring:hetero_[5]_O,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_furan
626,ring:hetero_[5]_O_furan_a-nitro,ring,hetero,[5]_O,furan_a-nitro,,ring:hetero,ring:hetero_[5]_O,ring:hetero_[5]_O_furan_a-nitro,ring:hetero_[5]_O_furan_a-nitro
627,ring:hetero_[5]_O_oxolane,ring,hetero,[5]_O,oxolane,,ring:hetero,ring:hetero_[5]_O,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_O_oxolane
628,ring:hetero_[5]_S_thiophene,ring,hetero,[5]_S_thiophene,,,ring:hetero,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_S_thiophene
629,ring:hetero_[5]_Z_1_2_3_4-Z,ring,hetero,[5]_Z_1,2_3_4-Z,,ring:hetero,ring:hetero_[5]_Z_1,ring:hetero_[5]_Z_1_2_3_4-Z,ring:hetero_[5]_Z_1_2_3_4-Z
630,ring:hetero_[5]_Z_1_2_3-Z,ring,hetero,[5]_Z_1,2_3-Z,,ring:hetero,ring:hetero_[5]_Z_1,ring:hetero_[5]_Z_1_2_3-Z,ring:hetero_[5]_Z_1_2_3-Z
631,ring:hetero_[5]_Z_1_2_4_1_3_4-Z,ring,hetero,[5]_Z_1,2_4_1_3_4-Z,,ring:hetero,ring:hetero_[5]_Z_1,ring:hetero_[5]_Z_1_2_4_1_3_4-Z,ring:hetero_[5]_Z_1_2_4_1_3_4-Z
632,ring:hetero_[5]_Z_1_2-Z,ring,hetero,[5]_Z_1,2-Z,,ring:hetero,ring:hetero_[5]_Z_1,ring:hetero_[5]_Z_1_2-Z,ring:hetero_[5]_Z_1_2-Z
633,ring:hetero_[5]_Z_1_3-Z,ring,hetero,[5]_Z_1,3-Z,,ring:hetero,ring:hetero_[5]_Z_1,ring:hetero_[5]_Z_1_3-Z,ring:hetero_[5]_Z_1_3-Z
634,ring:hetero_[5]_Z_1-Z,ring,hetero,[5]_Z_1-Z,1-Z,,ring:hetero,ring:hetero_[5]_Z_1-Z,ring:hetero_[5]_Z_1-Z_1-Z,ring:hetero_[5]_Z_1-Z
635,ring:hetero_[5_5]_N_pyrrolizidine,ring,hetero,[5_5]_N_pyrrolizidine,,,ring:hetero,ring:hetero_[5_5]_N_pyrrolizidine,ring:hetero_[5_5]_N_pyrrolizidine,ring:hetero_[5_5]_N_pyrrolizidine
636,ring:hetero_[5_5]_Z_generic,ring,hetero,[5_5]_Z_generic,,,ring:hetero,ring:hetero_[5_5]_Z_generic,ring:hetero_[5_5]_Z_generic,ring:hetero_[5_5]_Z_generic
637,ring:hetero_[5_5_6]_O_aflatoxin_generic,ring,hetero,[5_5_6]_O_aflatoxin_generic,,,ring:hetero,ring:hetero_[5_5_6]_O_aflatoxin_generic,ring:hetero_[5_5_6]_O_aflatoxin_generic,ring:hetero_[5_5_6]_O_aflatoxin_generic
638,ring:hetero_[5_6]_N_benzimidazole,ring,hetero,[5_6]_N,benzimidazole,,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_benzimidazole,ring:hetero_[5_6]_N_benzimidazole
639,ring:hetero_[5_6]_N_indazole,ring,hetero,[5_6]_N,indazole,,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_indazole,ring:hetero_[5_6]_N_indazole
640,ring:hetero_[5_6]_N_indole,ring,hetero,[5_6]_N,indole,,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_indole,ring:hetero_[5_6]_N_indole
641,ring:hetero_[5_6]_N_isoindole_1_3-dione,ring,hetero,[5_6]_N,isoindole_1_3-dione,,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_isoindole_1_3-dione,ring:hetero_[5_6]_N_isoindole_1_3-dione
642,ring:hetero_[5_6]_N_isoindole_1-one,ring,hetero,[5_6]_N,isoindole_1-one,,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_isoindole_1-one,ring:hetero_[5_6]_N_isoindole_1-one
643,ring:hetero_[5_6]_N_purine,ring,hetero,[5_6]_N,purine,,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_purine,ring:hetero_[5_6]_N_purine
644,ring:hetero_[5_6]_N_S_benzothiazole_(1_3-),ring,hetero,[5_6]_N,S_benzothiazole_(1_3-),,ring:hetero,ring:hetero_[5_6]_N,ring:hetero_[5_6]_N_S_benzothiazole_(1_3-),ring:hetero_[5_6]_N_S_benzothiazole_(1_3-)
645,ring:hetero_[5_6]_O_benzodioxole_(1_3-),ring,hetero,[5_6]_O,benzodioxole_(1_3-),,ring:hetero,ring:hetero_[5_6]_O,ring:hetero_[5_6]_O_benzodioxole_(1_3-),ring:hetero_[5_6]_O_benzodioxole_(1_3-)
646,ring:hetero_[5_6]_O_benzofuran,ring,hetero,[5_6]_O,benzofuran,,ring:hetero,ring:hetero_[5_6]_O,ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_O_benzofuran
647,ring:hetero_[5_6]_Z_generic,ring,hetero,[5_6]_Z_generic,,,ring:hetero,ring:hetero_[5_6]_Z_generic,ring:hetero_[5_6]_Z_generic,ring:hetero_[5_6]_Z_generic
648,ring:hetero_[5_7]_Z_generic,ring,hetero,[5_7]_Z_generic,,,ring:hetero,ring:hetero_[5_7]_Z_generic,ring:hetero_[5_7]_Z_generic,ring:hetero_[5_7]_Z_generic
649,ring:hetero_[6]_N_diazine_(1_2-)_generic,ring,hetero,[6]_N,diazine_(1_2-)_generic,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_diazine_(1_2-)_generic,ring:hetero_[6]_N_diazine_(1_2-)_generic
650,ring:hetero_[6]_N_diazine_(1_3-)_generic,ring,hetero,[6]_N,diazine_(1_3-)_generic,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_diazine_(1_3-)_generic,ring:hetero_[6]_N_diazine_(1_3-)_generic
651,ring:hetero_[6]_N_piperazine,ring,hetero,[6]_N,piperazine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_piperazine,ring:hetero_[6]_N_piperazine
652,ring:hetero_[6]_N_piperidine,ring,hetero,[6]_N,piperidine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_piperidine,ring:hetero_[6]_N_piperidine
653,ring:hetero_[6]_N_pyrazine,ring,hetero,[6]_N,pyrazine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_pyrazine,ring:hetero_[6]_N_pyrazine
654,ring:hetero_[6]_N_pyridazine,ring,hetero,[6]_N,pyridazine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_pyridazine,ring:hetero_[6]_N_pyridazine
655,ring:hetero_[6]_N_pyridine,ring,hetero,[6]_N,pyridine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_pyridine,ring:hetero_[6]_N_pyridine
656,ring:hetero_[6]_N_pyridine_generic,ring,hetero,[6]_N,pyridine_generic,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_pyridine_generic,ring:hetero_[6]_N_pyridine_generic
657,ring:hetero_[6]_N_pyrimidine,ring,hetero,[6]_N,pyrimidine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_pyrimidine,ring:hetero_[6]_N_pyrimidine
658,ring:hetero_[6]_N_pyrimidine_2_4-dione,ring,hetero,[6]_N,pyrimidine_2_4-dione,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_pyrimidine_2_4-dione,ring:hetero_[6]_N_pyrimidine_2_4-dione
659,ring:hetero_[6]_N_tetrazine_(1_2_3_4-),ring,hetero,[6]_N,tetrazine_(1_2_3_4-),,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_tetrazine_(1_2_3_4-),ring:hetero_[6]_N_tetrazine_(1_2_3_4-)
660,ring:hetero_[6]_N_tetrazine_generic,ring,hetero,[6]_N,tetrazine_generic,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_tetrazine_generic,ring:hetero_[6]_N_tetrazine_generic
661,ring:hetero_[6]_N_triazine_(1_2_3-),ring,hetero,[6]_N,triazine_(1_2_3-),,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_triazine_(1_2_3-),ring:hetero_[6]_N_triazine_(1_2_3-)
662,ring:hetero_[6]_N_triazine_(1_2_4-),ring,hetero,[6]_N,triazine_(1_2_4-),,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_triazine_(1_2_4-),ring:hetero_[6]_N_triazine_(1_2_4-)
663,ring:hetero_[6]_N_triazine_(1_3_5-),ring,hetero,[6]_N,triazine_(1_3_5-),,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_triazine_(1_3_5-),ring:hetero_[6]_N_triazine_(1_3_5-)
664,ring:hetero_[6]_N_triazine_generic,ring,hetero,[6]_N,triazine_generic,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_triazine_generic,ring:hetero_[6]_N_triazine_generic
665,ring:hetero_[6]_N_O_1_4-oxazine_generic,ring,hetero,[6]_N,O_1_4-oxazine_generic,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_O_1_4-oxazine_generic,ring:hetero_[6]_N_O_1_4-oxazine_generic
666,ring:hetero_[6]_N_O_1_4-oxazine_morpholine,ring,hetero,[6]_N,O_1_4-oxazine_morpholine,,ring:hetero,ring:hetero_[6]_N,ring:hetero_[6]_N_O_1_4-oxazine_morpholine,ring:hetero_[6]_N_O_1_4-oxazine_morpholine
667,ring:hetero_[6]_O_dioxane_(1_4-)_generic,ring,hetero,[6]_O,dioxane_(1_4-)_generic,,ring:hetero,ring:hetero_[6]_O,ring:hetero_[6]_O_dioxane_(1_4-)_generic,ring:hetero_[6]_O_dioxane_(1_4-)_generic
668,ring:hetero_[6]_O_pyran_generic,ring,hetero,[6]_O,pyran_generic,,ring:hetero,ring:hetero_[6]_O,ring:hetero_[6]_O_pyran_generic,ring:hetero_[6]_O_pyran_generic
669,ring:hetero_[6]_Z_1-,ring,hetero,[6]_Z_1-,1-,,ring:hetero,ring:hetero_[6]_Z_1-,ring:hetero_[6]_Z_1-_1-,ring:hetero_[6]_Z_1-
670,ring:hetero_[6]_Z_1_2-,ring,hetero,[6]_Z_1,2-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_2-,ring:hetero_[6]_Z_1_2-
671,ring:hetero_[6]_Z_1_2_3-,ring,hetero,[6]_Z_1,2_3-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_2_3-,ring:hetero_[6]_Z_1_2_3-
672,ring:hetero_[6]_Z_1_2_3_4-,ring,hetero,[6]_Z_1,2_3_4-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_2_3_4-,ring:hetero_[6]_Z_1_2_3_4-
673,ring:hetero_[6]_Z_1_2_3_5-,ring,hetero,[6]_Z_1,2_3_5-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_2_3_5-,ring:hetero_[6]_Z_1_2_3_5-
674,ring:hetero_[6]_Z_1_2_4-,ring,hetero,[6]_Z_1,2_4-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_2_4-,ring:hetero_[6]_Z_1_2_4-
675,ring:hetero_[6]_Z_1_2_4_5-,ring,hetero,[6]_Z_1,2_4_5-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_2_4_5-,ring:hetero_[6]_Z_1_2_4_5-
676,ring:hetero_[6]_Z_1_3-,ring,hetero,[6]_Z_1,3-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_3-,ring:hetero_[6]_Z_1_3-
677,ring:hetero_[6]_Z_1_3_5-,ring,hetero,[6]_Z_1,3_5-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_3_5-,ring:hetero_[6]_Z_1_3_5-
678,ring:hetero_[6]_Z_1_4-,ring,hetero,[6]_Z_1,4-,,ring:hetero,ring:hetero_[6]_Z_1,ring:hetero_[6]_Z_1_4-,ring:hetero_[6]_Z_1_4-
679,ring:hetero_[6]_Z_generic,ring,hetero,[6]_Z_generic,,,ring:hetero,ring:hetero_[6]_Z_generic,ring:hetero_[6]_Z_generic,ring:hetero_[6]_Z_generic
680,ring:hetero_[6_5_6]_N_carbazole,ring,hetero,[6_5_6],N_carbazole,,ring:hetero,ring:hetero_[6_5_6],ring:hetero_[6_5_6]_N_carbazole,ring:hetero_[6_5_6]_N_carbazole
681,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,ring,hetero,[6_5_6],O_benzofuran_dibenzo,,ring:hetero,ring:hetero_[6_5_6],ring:hetero_[6_5_6]_O_benzofuran_dibenzo,ring:hetero_[6_5_6]_O_benzofuran_dibenzo
682,ring:hetero_[6_6]_N_isoquinoline,ring,hetero,[6_6]_N,isoquinoline,,ring:hetero,ring:hetero_[6_6]_N,ring:hetero_[6_6]_N_isoquinoline,ring:hetero_[6_6]_N_isoquinoline
683,ring:hetero_[6_6]_N_pteridine,ring,hetero,[6_6]_N,pteridine,,ring:hetero,ring:hetero_[6_6]_N,ring:hetero_[6_6]_N_pteridine,ring:hetero_[6_6]_N_pteridine
684,ring:hetero_[6_6]_N_pteridine_generic,ring,hetero,[6_6]_N,pteridine_generic,,ring:hetero,ring:hetero_[6_6]_N,ring:hetero_[6_6]_N_pteridine_generic,ring:hetero_[6_6]_N_pteridine_generic
685,ring:hetero_[6_6]_N_quinazoline,ring,hetero,[6_6]_N,quinazoline,,ring:hetero,ring:hetero_[6_6]_N,ring:hetero_[6_6]_N_quinazoline,ring:hetero_[6_6]_N_quinazoline
686,ring:hetero_[6_6]_N_quinoline,ring,hetero,[6_6]_N,quinoline,,ring:hetero,ring:hetero_[6_6]_N,ring:hetero_[6_6]_N_quinoline,ring:hetero_[6_6]_N_quinoline
687,ring:hetero_[6_6]_N_quinoxaline,ring,hetero,[6_6]_N,quinoxaline,,ring:hetero,ring:hetero_[6_6]_N,ring:hetero_[6_6]_N_quinoxaline,ring:hetero_[6_6]_N_quinoxaline
688,ring:hetero_[6_6]_O_benzodioxin_(1_4-),ring,hetero,[6_6]_O,benzodioxin_(1_4-),,ring:hetero,ring:hetero_[6_6]_O,ring:hetero_[6_6]_O_benzodioxin_(1_4-),ring:hetero_[6_6]_O_benzodioxin_(1_4-)
689,ring:hetero_[6_6]_O_benzopyran,ring,hetero,[6_6]_O,benzopyran,,ring:hetero,ring:hetero_[6_6]_O,ring:hetero_[6_6]_O_benzopyran,ring:hetero_[6_6]_O_benzopyran
690,ring:hetero_[6_6]_O_benzopyrone_(1_2-),ring,hetero,[6_6]_O,benzopyrone,(1_2-),ring:hetero,ring:hetero_[6_6]_O,ring:hetero_[6_6]_O_benzopyrone,ring:hetero_[6_6]_O_benzopyrone_(1_2-)
691,ring:hetero_[6_6]_O_benzopyrone_(1_4-),ring,hetero,[6_6]_O,benzopyrone,(1_4-),ring:hetero,ring:hetero_[6_6]_O,ring:hetero_[6_6]_O_benzopyrone,ring:hetero_[6_6]_O_benzopyrone_(1_4-)
692,ring:hetero_[6_6]_Z_generic,ring,hetero,[6_6]_Z_generic,,,ring:hetero,ring:hetero_[6_6]_Z_generic,ring:hetero_[6_6]_Z_generic,ring:hetero_[6_6]_Z_generic
693,ring:hetero_[6_6_6]_N_acridine,ring,hetero,[6_6_6]_N,acridine,,ring:hetero,ring:hetero_[6_6_6]_N,ring:hetero_[6_6_6]_N_acridine,ring:hetero_[6_6_6]_N_acridine
694,ring:hetero_[6_6_6]_N_pteridine_flavin_generic,ring,hetero,[6_6_6]_N,pteridine_flavin_generic,,ring:hetero,ring:hetero_[6_6_6]_N,ring:hetero_[6_6_6]_N_pteridine_flavin_generic,ring:hetero_[6_6_6]_N_pteridine_flavin_generic
695,ring:hetero_[6_6_6]_N_S_phenothiazine,ring,hetero,[6_6_6]_N,S_phenothiazine,,ring:hetero,ring:hetero_[6_6_6]_N,ring:hetero_[6_6_6]_N_S_phenothiazine,ring:hetero_[6_6_6]_N_S_phenothiazine
696,ring:hetero_[6_6_6]_O_benzopyran_dibenzo[b_d],ring,hetero,[6_6_6]_O,benzopyran,dibenzo[b_d],ring:hetero,ring:hetero_[6_6_6]_O,ring:hetero_[6_6_6]_O_benzopyran,ring:hetero_[6_6_6]_O_benzopyran_dibenzo[b_d]
697,ring:hetero_[6_6_6]_O_benzopyran_dibenzo[b_e],ring,hetero,[6_6_6]_O,benzopyran,dibenzo[b_e],ring:hetero,ring:hetero_[6_6_6]_O,ring:hetero_[6_6_6]_O_benzopyran,ring:hetero_[6_6_6]_O_benzopyran_dibenzo[b_e]
698,ring:hetero_[6_7]_N_benzodiazepine_(1_4-),ring,hetero,[6_7]_N_benzodiazepine_(1_4-),,,ring:hetero,ring:hetero_[6_7]_N_benzodiazepine_(1_4-),ring:hetero_[6_7]_N_benzodiazepine_(1_4-),ring:hetero_[6_7]_N_benzodiazepine_(1_4-)
699,ring:hetero_[7]_generic_1_2-Z,ring,hetero,[7]_generic_1,2-Z,,ring:hetero,ring:hetero_[7]_generic_1,ring:hetero_[7]_generic_1_2-Z,ring:hetero_[7]_generic_1_2-Z
700,ring:hetero_[7]_generic_1_3-Z,ring,hetero,[7]_generic_1,3-Z,,ring:hetero,ring:hetero_[7]_generic_1,ring:hetero_[7]_generic_1_3-Z,ring:hetero_[7]_generic_1_3-Z
701,ring:hetero_[7]_generic_1_4-Z,ring,hetero,[7]_generic_1,4-Z,,ring:hetero,ring:hetero_[7]_generic_1,ring:hetero_[7]_generic_1_4-Z,ring:hetero_[7]_generic_1_4-Z
702,ring:hetero_[7]_generic_1-Z,ring,hetero,[7]_generic_1-Z,,,ring:hetero,ring:hetero_[7]_generic_1-Z,ring:hetero_[7]_generic_1-Z,ring:hetero_[7]_generic_1-Z
703,ring:hetero_[7]_N_azepine_generic,ring,hetero,[7]_N,azepine_generic,,ring:hetero,ring:hetero_[7]_N,ring:hetero_[7]_N_azepine_generic,ring:hetero_[7]_N_azepine_generic
704,ring:hetero_[7]_N_diazepine_(1_4-),ring,hetero,[7]_N,diazepine_(1_4-),,ring:hetero,ring:hetero_[7]_N,ring:hetero_[7]_N_diazepine_(1_4-),ring:hetero_[7]_N_diazepine_(1_4-)
705,ring:hetero_[7]_O_oxepin,ring,hetero,[7]_O_oxepin,,,ring:hetero,ring:hetero_[7]_O_oxepin,ring:hetero_[7]_O_oxepin,ring:hetero_[7]_O_oxepin
706,ring:polycycle_bicyclo_[2.1.1]heptane,ring,polycycle,bicyclo,[2.1.1]heptane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[2.1.1]heptane,ring:polycycle_bicyclo_[2.1.1]heptane
707,ring:polycycle_bicyclo_[2.1.1]hexane,ring,polycycle,bicyclo,[2.1.1]hexane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[2.1.1]hexane,ring:polycycle_bicyclo_[2.1.1]hexane
708,ring:polycycle_bicyclo_[2.1.1]hexane_5-oxabicyclo,ring,polycycle,bicyclo,[2.1.1]hexane_5-oxabicyclo,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[2.1.1]hexane_5-oxabicyclo,ring:polycycle_bicyclo_[2.1.1]hexane_5-oxabicyclo
709,ring:polycycle_bicyclo_[2.2.2]octane,ring,polycycle,bicyclo,[2.2.2]octane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[2.2.2]octane,ring:polycycle_bicyclo_[2.2.2]octane
710,ring:polycycle_bicyclo_[2.2.2]octatriene,ring,polycycle,bicyclo,[2.2.2]octatriene,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[2.2.2]octatriene,ring:polycycle_bicyclo_[2.2.2]octatriene
711,ring:polycycle_bicyclo_[3.2.1]octane,ring,polycycle,bicyclo,[3.2.1]octane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[3.2.1]octane,ring:polycycle_bicyclo_[3.2.1]octane
712,ring:polycycle_bicyclo_[3.2.2]nonane,ring,polycycle,bicyclo,[3.2.2]nonane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[3.2.2]nonane,ring:polycycle_bicyclo_[3.2.2]nonane
713,ring:polycycle_bicyclo_[3.3.1]nonane,ring,polycycle,bicyclo,[3.3.1]nonane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[3.3.1]nonane,ring:polycycle_bicyclo_[3.3.1]nonane
714,ring:polycycle_bicyclo_[3.3.2]decane,ring,polycycle,bicyclo,[3.3.2]decane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[3.3.2]decane,ring:polycycle_bicyclo_[3.3.2]decane
715,ring:polycycle_bicyclo_[4.2.0]octadiene,ring,polycycle,bicyclo,[4.2.0]octadiene,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[4.2.0]octadiene,ring:polycycle_bicyclo_[4.2.0]octadiene
716,ring:polycycle_bicyclo_[4.3.1]decane,ring,polycycle,bicyclo,[4.3.1]decane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[4.3.1]decane,ring:polycycle_bicyclo_[4.3.1]decane
717,ring:polycycle_bicyclo_[4.4.1]undecane,ring,polycycle,bicyclo,[4.4.1]undecane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[4.4.1]undecane,ring:polycycle_bicyclo_[4.4.1]undecane
718,ring:polycycle_bicyclo_[5.1.0]octadiene,ring,polycycle,bicyclo,[5.1.0]octadiene,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[5.1.0]octadiene,ring:polycycle_bicyclo_[5.1.0]octadiene
719,ring:polycycle_bicyclo_[5.4.1]dodecane,ring,polycycle,bicyclo,[5.4.1]dodecane,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_[5.4.1]dodecane,ring:polycycle_bicyclo_[5.4.1]dodecane
720,ring:polycycle_bicyclo_propene,ring,polycycle,bicyclo,propene,,ring:polycycle,ring:polycycle_bicyclo,ring:polycycle_bicyclo_propene,ring:polycycle_bicyclo_propene
721,ring:polycycle_spiro_[2.2]pentane,ring,polycycle,spiro,[2.2]pentane,,ring:polycycle,ring:polycycle_spiro,ring:polycycle_spiro_[2.2]pentane,ring:polycycle_spiro_[2.2]pentane
722,ring:polycycle_spiro_[2.5]octane,ring,polycycle,spiro,[2.5]octane,,ring:polycycle,ring:polycycle_spiro,ring:polycycle_spiro_[2.5]octane,ring:polycycle_spiro_[2.5]octane
723,ring:polycycle_spiro_[4.5]decane,ring,polycycle,spiro,[4.5]decane,,ring:polycycle,ring:polycycle_spiro,ring:polycycle_spiro_[4.5]decane,ring:polycycle_spiro_[4.5]decane
724,ring:polycycle_spiro_1_4-dioxaspiro[4.5]decane,ring,polycycle,spiro,1_4-dioxaspiro[4.5]decane,,ring:polycycle,ring:polycycle_spiro,ring:polycycle_spiro_1_4-dioxaspiro[4.5]decane,ring:polycycle_spiro_1_4-dioxaspiro[4.5]decane
725,ring:polycycle_tricyclo_[3.5.5]_cyclopropa[cd]pentalene,ring,polycycle,tricyclo,[3.5.5]_cyclopropa[cd]pentalene,,ring:polycycle,ring:polycycle_tricyclo,ring:polycycle_tricyclo_[3.5.5]_cyclopropa[cd]pentalene,ring:polycycle_tricyclo_[3.5.5]_cyclopropa[cd]pentalene
726,ring:polycycle_tricyclo_[3.7.7]bullvalene,ring,polycycle,tricyclo,[3.7.7]bullvalene,,ring:polycycle,ring:polycycle_tricyclo,ring:polycycle_tricyclo_[3.7.7]bullvalene,ring:polycycle_tricyclo_[3.7.7]bullvalene
727,ring:polycycle_tricyclo_[3.7.7]semibullvalene,ring,polycycle,tricyclo,[3.7.7]semibullvalene,,ring:polycycle,ring:polycycle_tricyclo,ring:polycycle_tricyclo_[3.7.7]semibullvalene,ring:polycycle_tricyclo_[3.7.7]semibullvalene
728,ring:polycycle_tricyclo_adamantane,ring,polycycle,tricyclo,adamantane,,ring:polycycle,ring:polycycle_tricyclo,ring:polycycle_tricyclo_adamantane,ring:polycycle_tricyclo_adamantane
729,ring:polycycle_tricyclo_benzvalene,ring,polycycle,tricyclo,benzvalene,,ring:polycycle,ring:polycycle_tricyclo,ring:polycycle_tricyclo_benzvalene,ring:polycycle_tricyclo_benzvalene
