ToxPrint_ID,ToxPrint_chemotype_name (original),Level 1,Level 2,Level 3,Level 4,Level 5,Level 2 full,Level 3 full,Level 4 full,Level 5 full
516,chain:oxy-alkaneLinear_sulfuricEster_AEOS,chain,oxy-alkaneLinear,sulfuricEster_AEOS,,,chain:oxy-alkaneLinear,chain:oxy-alkaneLinear_sulfuricEster_AEOS,chain:oxy-alkaneLinear_sulfuricEster_AEOS,chain:oxy-alkaneLinear_sulfuricEster_AEOS
517,group:aminoAcid_aminoAcid_generic,group,aminoAcid,aminoAcid_generic,,,group:aminoAcid,group:aminoAcid_aminoAcid_generic,group:aminoAcid_aminoAcid_generic,group:aminoAcid_aminoAcid_generic
518,group:aminoAcid_alanine,group,aminoAcid,alanine,,,group:aminoAcid,group:aminoAcid_alanine,group:aminoAcid_alanine,group:aminoAcid_alanine
519,group:aminoAcid_arginine,group,aminoAcid,arginine,,,group:aminoAcid,group:aminoAcid_arginine,group:aminoAcid_arginine,group:aminoAcid_arginine
520,group:aminoAcid_asparagine,group,aminoAcid,asparagine,,,group:aminoAcid,group:aminoAcid_asparagine,group:aminoAcid_asparagine,group:aminoAcid_asparagine
521,group:aminoAcid_aspartic_acid,group,aminoAcid,aspartic_acid,,,group:aminoAcid,group:aminoAcid_aspartic_acid,group:aminoAcid_aspartic_acid,group:aminoAcid_aspartic_acid
522,group:aminoAcid_cysteine,group,aminoAcid,cysteine,,,group:aminoAcid,group:aminoAcid_cysteine,group:aminoAcid_cysteine,group:aminoAcid_cysteine
523,group:aminoAcid_glutamic_acid,group,aminoAcid,glutamic_acid,,,group:aminoAcid,group:aminoAcid_glutamic_acid,group:aminoAcid_glutamic_acid,group:aminoAcid_glutamic_acid
524,group:aminoAcid_glutamine,group,aminoAcid,glutamine,,,group:aminoAcid,group:aminoAcid_glutamine,group:aminoAcid_glutamine,group:aminoAcid_glutamine
525,group:aminoAcid_glycine,group,aminoAcid,glycine,,,group:aminoAcid,group:aminoAcid_glycine,group:aminoAcid_glycine,group:aminoAcid_glycine
526,group:aminoAcid_histidine,group,aminoAcid,histidine,,,group:aminoAcid,group:aminoAcid_histidine,group:aminoAcid_histidine,group:aminoAcid_histidine
527,group:aminoAcid_isoleucine,group,aminoAcid,isoleucine,,,group:aminoAcid,group:aminoAcid_isoleucine,group:aminoAcid_isoleucine,group:aminoAcid_isoleucine
528,group:aminoAcid_leucine,group,aminoAcid,leucine,,,group:aminoAcid,group:aminoAcid_leucine,group:aminoAcid_leucine,group:aminoAcid_leucine
